net_type,area_no,train_type,mse_median,nse_median,log_nse_median,atpe_median,rmse_median,bias_median,kge_median,mse_mean,nse_mean,log_nse_mean,atpe_mean,rmse_mean,bias_mean,kge_mean
CNN-GNN-LSTM,2,max_nse,0.22531677782535553,0.7685425877571106,0.94709712266922,0.20174568891525269,1.1139999628067017,0.005053974222391844,0.7987103462219238,0.2544257938861847,0.7519879341125488,0.934425413608551,0.22326886653900146,1.1296262741088867,0.009838568046689034,0.7834910154342651
CNN-GNN-LSTM,2,min_mse,0.21427692472934723,0.7789134383201599,0.9482030272483826,0.19405435025691986,1.0863659381866455,-0.02398420125246048,0.817094087600708,0.24481771886348724,0.7582850456237793,0.9355655908584595,0.21248695254325867,1.1144484281539917,-0.02094309590756893,0.796951413154602
CNN-LSTM,2,new,0.23079213500022888,0.7512346506118774,0.897660493850708,0.21408304572105408,1.1274513006210327,-0.014486543834209442,0.8055374026298523,0.28216806054115295,0.7159785628318787,0.8614282608032227,0.226503387093544,1.2049592733383179,-0.011746980249881744,0.7939373254776001
CNN-LSTM,2,max_nse,0.22476886212825775,0.7568245530128479,0.9482462406158447,0.19062970578670502,1.1126446723937988,-0.04205379635095596,0.7782812714576721,0.26236191391944885,0.7457402944564819,0.9373682141304016,0.21085985004901886,1.1483196020126343,-0.040813419967889786,0.750804603099823
CNN-LSTM,2,min_mse,0.2010103464126587,0.7656815648078918,0.935709536075592,0.202589213848114,1.0521981716156006,-0.002063478110358119,0.7912787199020386,0.25699862837791443,0.7467511892318726,0.917631983757019,0.21815058588981628,1.1368236541748047,0.004254549276083708,0.7859684824943542
LSTM,2,new,0.2386840134859085,0.7390207052230835,0.9127895832061768,0.2091510146856308,1.1465678215026855,-0.027276573702692986,0.7910382151603699,0.2776041626930237,0.7242705821990967,0.900761604309082,0.22356700897216797,1.1921346187591553,-0.0259548332542181,0.7729228734970093
LSTM,2,max_nse,0.22837743163108826,0.7520537376403809,0.9497492909431458,0.19638492166996002,1.1215405464172363,-0.06613335013389587,0.7633199691772461,0.2659550607204437,0.7414283156394958,0.9283061623573303,0.20842008292675018,1.1552088260650635,-0.06291580945253372,0.7448856234550476
LSTM,2,min_mse,0.21797195076942444,0.7564438581466675,0.9428406953811646,0.20130328834056854,1.09569251537323,-0.018934279680252075,0.7854949235916138,0.25781217217445374,0.7466031312942505,0.9305422306060791,0.21609918773174286,1.141396164894104,-0.0195847749710083,0.7770553231239319
CNN-GNN-LSTM,3,new,0.1364198923110962,0.7590718269348145,0.8288561105728149,0.20566445589065552,0.9095445871353149,-0.008369475603103638,0.8349643349647522,0.1981603503227234,0.7612600326538086,0.7006819248199463,0.21860826015472412,0.9874651432037354,-0.016193237155675888,0.8203416466712952
CNN-GNN-LSTM,3,max_nse,0.1319010853767395,0.7705800533294678,0.41057953238487244,0.2108355164527893,0.8943767547607422,-0.03406364843249321,0.830784022808075,0.19174158573150635,0.7684209942817688,-0.17835083603858948,0.22527891397476196,0.9753450751304626,-0.03889567777514458,0.8233311772346497
